KabKota,SImdasi ID,Timestamp,Tahun,"A Pertanian, Kehutanan, dan Perikanan",B Pertambangan dan Penggalian,C Industri Pengolahan,D Pengadaan Listrik dan Gas,"E Pengadaan Air; Pengelolaan Sampah, Limbah, dan Daur Ulang",F Konstruksi,G Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,H Transportasi dan Pergudangan,I Penyediaan Akomodasi dan Makan Minum,J Informasi dan Komunikasi,K Jasa Keuangan dan Asuransi,L Real Estat,"M,N Jasa Perusahaan","O Administrasi Pemerintahan, Pertahanan, dan Jaminan Sosial Wajib",P Jasa Pendidikan,Q Jasa Kesehatan dan Kegiatan Sosial,"R,S,T,U Jasa Lainnya",Produk Domestik Bruto
Kota Sabang,1172000,2025-03-10 13:55:19,2021,100.62,10.96,36.3,2.46,2.99,538.94,233.98,49.28,44.81,29.6,38.25,54.77,3.31,249.54,70.05,107.96,27.5,1601.32
Kota Langsa,1173000,2025-03-10 13:55:19,2021,505.5,19.71,567.61,5.48,3.2,620.21,1619.08,377.09,174.67,315.41,168.56,239.8,55.85,491.17,133.06,316.17,152.9,5765.49
Kota Lhokseumawe,1174000,2025-03-10 13:55:19,2021,924.45,36.96,1793.4,15.75,1.48,1364.87,2013.28,902.55,168.47,333.01,272.14,452.45,94.89,442.35,148.98,338.57,127.79,9431.39
Kota Subulussalam,1175000,2025-03-10 13:55:19,2021,469.55,29.82,394.51,1.66,0.33,329.43,357.32,96.59,16.97,56.8,38.77,67.05,5.65,145.27,50.12,38.93,12.18,2110.95
Nias,1201000,2025-03-10 13:55:19,2021,2036.63,382.01,8.84,3.92,0.44,468.01,392.14,67.84,76.86,10.38,63.08,88.13,3.38,521.39,58.06,32.74,8,4221.86
Mandailing Natal,1202000,2025-03-10 13:55:19,2021,6678.96,89.55,1719.67,10.2,2.98,1890.99,2105.99,263.38,94.95,100.12,192.45,381.62,13.99,1037.06,178.81,115.1,4.61,14880.42
Tapanuli Selatan,1203000,2025-03-10 13:55:19,2021,6323.88,2326.58,1016.22,8.15,13.69,1805.4,1760.23,243.08,204.32,87.37,133.06,319.39,8.44,984.04,107.77,124.09,5.73,15471.45
Tapanuli Tengah,1204000,2025-03-10 13:55:19,2021,4906.09,27.62,1232.82,59.82,12.77,1246.27,1327.07,231.17,140.84,70.94,108.86,215.09,34.68,856.01,103.83,35.22,9.63,10618.75
Tapanuli Utara,1205000,2025-03-10 13:55:19,2021,3864.35,6.23,203.35,8.44,8.7,1249.05,1394.25,422.66,207.85,71.81,139.5,204.41,27.39,781.81,137.65,61.41,11.21,8800.08
Toba Samosir,1206000,2025-03-10 13:55:19,2021,2573.4,22.26,908.36,5.36,3.53,1140.53,1512.92,256.29,215.52,101.8,130.34,243,77.55,774.3,213.53,74.86,12.57,8266.13
Labuhan Batu,1207000,2025-03-10 13:55:19,2021,9724.26,250.46,13049.57,20.63,11.3,3129.58,6581.07,630.7,495.14,260.98,422.92,1002.92,63.23,1118.88,644.04,162.32,38.9,37606.88
Asahan,1208000,2025-03-10 13:55:19,2021,15920.46,81.15,9681.56,29.24,24.44,2767.48,8175.11,1369.04,302.63,176.61,585.47,739.66,18.98,1321.44,307,257.97,236.02,41994.24
Simalungun,1209000,2025-03-10 13:55:19,2021,21858.72,93.68,4932.36,28.43,35.24,4252.7,6747.21,692.89,335.35,237.49,471.26,380.78,37.76,1824.11,435.9,165.6,47.39,42576.88
Dairi,1210000,2025-03-10 13:55:19,2021,4162.71,6.7,39.24,7.6,7.46,1313.82,1704.31,387.54,257.47,97.64,215.98,275.66,6.26,972.56,190.01,63.79,2.05,9710.8
Karo,1211000,2025-03-10 13:55:19,2021,11779.76,45.13,829.08,15.86,17.96,1605.89,2370.49,969.86,546.07,181.03,313.91,743.09,43.71,1259.38,530.66,278.51,293.73,21824.14
Deli Serdang,1212000,2025-03-10 13:55:19,2021,12214.16,824.51,36222.42,144.27,52.75,19014.42,20506.53,8211.81,2741.35,1511.96,3103.05,4805.9,560.37,2219.52,1775.56,1079.99,317.72,115306.31
Langkat,1213000,2025-03-10 13:55:19,2021,18658.42,4311.71,7415.69,90.86,16.87,3399.02,5085.98,982.78,940.49,534.79,887.7,1370.2,255.36,1501.23,529.45,226.83,93.82,46301.2
Nias Selatan,1214000,2025-03-10 13:55:19,2021,3307.45,435.59,12.55,4.06,2.28,1065.26,656.9,288.51,159.74,56.59,102.09,387.06,2.34,686.79,184.73,60.01,8.7,7420.63
Humbang Hasundutan,1215000,2025-03-10 13:55:19,2021,2757.29,41.16,99.99,4.66,3.93,920.42,1023.08,158.14,207.5,56.37,71.53,197.94,8.64,691.41,61.25,43.02,10.4,6356.73
Pakpak Bharat,1216000,2025-03-10 13:55:19,2021,706.68,0.54,2.32,2.6,0.82,132.04,157.83,27.01,29.47,8.95,11.13,19.75,0.25,150.09,15.88,5.08,0.28,1270.71
Samosir,1217000,2025-03-10 13:55:19,2021,2425.33,30.9,24.46,2.38,2.4,549.76,524.44,162.61,232.01,41,45.22,107.03,5.59,525.03,45.56,27.73,3.78,4755.23
Serdang Bedagai,1218000,2025-03-10 13:55:19,2021,11938.5,273.41,5784.27,24.94,3.85,3169.86,4999.5,242.41,763.66,171.63,157.82,886.35,158.76,974.4,418.32,282.19,168.98,30418.85
Batu Bara,1219000,2025-03-10 13:55:19,2021,7533,49.68,17007.75,18.33,11.31,2548.25,6653.31,1194.48,395.69,186.88,108.13,465.75,39.74,683.85,155.12,111.24,35.18,37197.71
Padang Lawas Utara,1220000,2025-03-10 13:55:19,2021,5048.21,39.13,2663.25,22.44,6.47,1800.85,1583.31,283.32,126.04,71.31,104.42,660.79,8.28,554.44,93.31,67.49,4.86,13137.92
Padang Lawas,1221000,2025-03-10 13:55:19,2021,6502.57,64.4,2296.56,25.17,0.14,1980.76,889.9,148.98,125.79,80.44,104.1,460.15,6.94,342.8,47.28,58.64,4.53,13139.14
Labuhan Batu Selatan,1222000,2025-03-10 13:55:19,2021,8709.56,92.64,13332.14,14.64,6.11,2011.42,4143.61,299.64,244.09,131.11,258.7,753.34,41.72,453.12,138.9,97.46,25.93,30754.13
Labuhan Batu Utara,1223000,2025-03-10 13:55:19,2021,9727.07,179.86,8074.18,19.23,4.52,1946.7,4654.99,307.74,260.65,110.8,209.31,924.01,46.73,615.14,169.64,114.92,35,27400.5
Nias Utara,1224000,2025-03-10 13:55:19,2021,2024.9,235.56,8.88,5.32,1.88,352.35,452.32,72.53,103.04,16.09,70.91,117.4,2.02,291.98,74.73,34.21,10.95,3875.07
Nias Barat,1225000,2025-03-10 13:55:19,2021,1094.77,66.71,4.8,2.42,0.12,186.18,263.51,32.83,32.67,9.49,37.08,54.63,2.01,174.85,37.41,14.84,5.69,2020
Kota Sibolga,1271000,2025-03-10 13:55:19,2021,1096.49,0.13,288.55,5.71,16.61,713.6,1539.08,519.42,280.22,75.39,150.26,288.18,31.73,452.07,246.62,72.81,19.24,5796.11
Kota Tanjung Balai,1272000,2025-03-10 13:55:19,2021,1488.62,172.79,2000.08,67.29,15.1,1491.62,2185.01,536.4,194.79,87.93,164.46,305.03,27.91,578.67,134.3,78.54,104.19,9632.7
Kota Pematang Siantar,1273000,2025-03-10 13:55:19,2021,226.8,1.31,2973.96,45.42,44.71,1464.34,3647.94,1039.45,782.96,245.37,578.53,1052.48,138.65,786.62,938.68,157.76,83.23,14208.23
Kota Tebing Tinggi,1274000,2025-03-10 13:55:19,2021,79.22,8.96,776.01,9.12,13.99,919.98,1552.48,505.27,241.13,133.88,331.4,530.97,28.7,698.27,395.68,69.93,54.97,6349.95
Kota Medan,1275000,2025-03-10 13:55:19,2021,2502.9,2.5,36233.53,249.46,507.7,49099.95,66287.25,14121.61,6544.29,14537.49,15529.46,23713.7,6986.76,4761.18,6468.63,4253.98,2921.58,254721.96
Kota Binjai,1276000,2025-03-10 13:55:19,2021,366.69,350.4,1410.69,14.44,14.06,1533.76,3645.83,904.65,597.94,339.04,423.59,981.79,103.79,853.29,577.58,134.25,65.36,12317.15
Kota Padangsidimpuan,1277000,2025-03-10 13:55:19,2021,716.42,30.3,283.94,10.9,12.78,812.58,1572.48,473.3,402.68,187.88,402.4,327.69,36.66,669.71,718.63,89.41,36.63,6784.4
Kota Gunungsitoli,1278000,2025-03-10 13:55:19,2021,895.93,166.57,10.98,5.63,6.38,1213.92,1633.85,505.11,240.27,103.7,204.5,324.77,19.26,315.44,302.89,47.24,21.09,6017.55
Kepulauan Mentawai,1301000,2025-03-10 13:55:19,2021,2366.96,80.07,124.61,1.47,0.22,661.81,615.9,362.09,39.22,50.23,6.22,43.93,2.15,351.07,59.41,35.77,42.81,4843.91
Pesisir Selatan,1302000,2025-03-10 13:55:19,2021,5555.92,509.24,1015.11,7.32,9.07,1730.23,1775.22,556.75,184.03,1046.7,336.3,203.57,7.51,1078.44,518.77,223.36,169.03,14926.57
Solok,1303000,2025-03-10 13:55:19,2021,4830.14,737.52,678.03,4.19,7.57,1360.79,1549.72,1580.93,130.23,986.59,260.44,123.82,9.98,976.55,570.16,228.13,143.28,14178.06
Sijunjung,1304000,2025-03-10 13:55:19,2021,2626.58,1271.22,261.19,4.2,4.16,1386.16,1116.12,686,79.38,334.77,241.7,113.46,2.01,542.39,502.41,209.71,186.22,9567.67
Tanah Datar,1305000,2025-03-10 13:55:19,2021,3883.2,457.2,1457.33,3.55,15.21,1415.67,1792.28,1166.69,99.47,733.64,358.17,227.63,5.16,975.27,526.99,226.03,247.45,13590.94
Padang Pariaman,1306000,2025-03-10 13:55:19,2021,4180.13,1391.91,2205.04,7.06,9.89,1966.84,1965.31,2503.86,208.69,731.24,326.36,207.02,15.38,1125.95,1181.71,141.59,287.1,18455.09
Agam,1307000,2025-03-10 13:55:19,2021,6331.31,778.88,2121.66,5.18,10.54,1969.07,4058.62,1370.88,170.8,1273.21,275.18,402.93,7.49,1045.19,1164.96,287.62,166.89,21440.41
Lima Puluh Kota,1308000,2025-03-10 13:55:19,2021,5209,1310.81,1050.63,2.67,4.91,875.36,2371.57,1631.27,122.95,976.73,295.57,187.92,4.79,1063.35,563.66,283.2,228,16182.39
Pasaman,1309000,2025-03-10 13:55:19,2021,4435.9,184.08,375,2.02,8.74,533.32,1281.98,431.3,86.39,501.58,220.06,129.5,4.84,757.15,272.17,107.14,101.27,9432.45
Solok Selatan,1310000,2025-03-10 13:55:19,2021,1641.94,540.98,254.41,2.66,2.73,733.25,1160.53,360.36,47.27,307.03,47.59,47.72,0.85,323.56,152.43,80.28,74.42,5777.98
Dharmasraya,1311000,2025-03-10 13:55:19,2021,2955.55,666.87,576.76,2.3,1.36,1591.65,1560.83,656.82,103.85,740.76,254.99,245.53,2.11,743.74,346.05,219.6,88.7,10757.47
Pasaman Barat,1312000,2025-03-10 13:55:19,2021,6333.61,286.98,2193.43,3.87,1.89,1212.6,1949.63,825.4,102.46,900.07,335.8,250.39,9.44,752.25,448.33,218.22,109.51,15933.88
Kota Padang,1371000,2025-03-10 13:55:19,2021,3445.83,2104.67,7673.88,65.59,100.46,6597.99,10756.34,10121.03,807.03,5436.44,3677.53,2029.76,925.29,4806.1,3613.91,1256.25,1760.78,65178.86
Kota Solok,1372000,2025-03-10 13:55:19,2021,221.16,25.67,183.07,2.65,7.27,579.45,1046.4,633.03,96.88,300.73,191.38,113.88,0.71,396.13,254.4,72.65,126.43,4251.89
Kota Sawah Lunto,1373000,2025-03-10 13:55:19,2021,345.21,146.01,432.18,72.55,15.25,422.98,564.99,319.46,84.02,322.46,139.51,69.19,5.47,501.86,133.1,51.99,225.47,3851.69
Kota Padang Panjang,1374000,2025-03-10 13:55:19,2021,186.94,9.69,309.48,2.34,9.19,351.24,639.29,431.68,100.47,352.3,162.89,128.89,2.85,375.32,360.97,57.88,169.68,3651.12
Kota Bukittinggi,1375000,2025-03-10 13:55:19,2021,104.29,0.19,461.86,61.5,12.95,594.34,2994.07,922.47,430.78,664.3,543.88,299.28,56.24,611.33,558.23,360.06,350.79,9026.56
Kota Payakumbuh,1376000,2025-03-10 13:55:19,2021,444.03,37.37,367.28,4.29,17.01,993.95,1755.84,866.76,230.03,614.02,449.56,208.53,16.61,566.61,358.5,119.62,252.5,7302.51
Kota Pariaman,1377000,2025-03-10 13:55:19,2021,943.06,94.76,370.46,4.09,1.96,810.86,783.53,536.93,128.55,452.11,151.97,149.65,7.13,344.56,241.07,71.49,166.46,5258.66
Kuantan Singingi,1401000,2025-03-10 13:55:19,2021,19822.55,1722.22,10791.83,19.64,6.79,2908.34,1408.77,179.42,80.01,141.87,206.6,262.65,0.28,767.83,215.9,80.05,141.17,38755.92
Indragiri Hulu,1402000,2025-03-10 13:55:19,2021,14862.49,4370.01,13449.43,31.49,18.25,6635.2,4811.35,413.13,346.96,359.09,435.93,564.14,1.27,669.43,357.53,113.25,298.03,47736.97
Indragiri Hilir,1403000,2025-03-10 13:55:19,2021,34862.73,813.31,18075,42.41,9.26,4234,10992.1,663.25,285.6,456.01,412.26,579.06,1.78,1089.63,421.45,130.87,283.56,73352.31
Pelalawan,1404000,2025-03-10 13:55:19,2021,23700.7,1158.13,27887.11,21.25,3.08,1279.78,1549.91,110.16,89.49,280.65,304.86,323.81,0.48,499.16,173.42,96.63,139.94,57618.56
Siak,1405000,2025-03-10 13:55:19,2021,21129.99,22623.56,36301.22,9.15,3.34,4585.95,1942.26,112.35,42.4,235.29,356.91,398.83,4.21,690.35,521.62,240.44,438.25,89636.13
Kampar,1406000,2025-03-10 13:55:19,2021,28378.24,22983.91,21982.61,55.53,4.26,6183.68,2960.36,277.1,68.82,361.25,376.53,812.03,2.46,1115.6,465.74,204.83,223.07,86455.98
Rokan Hulu,1407000,2025-03-10 13:55:19,2021,23454.97,1849.41,10568.2,37.47,2.22,1381.52,2132.63,208.11,112.16,381.11,367.75,248.37,1.52,999.65,171.41,92.78,168.18,42177.46
Bengkalis,1408000,2025-03-10 13:55:19,2021,16630.17,82201.53,22662.84,43.9,16.02,4490.05,9302.3,317.21,379.13,577.83,417.73,425.93,4.25,1205.03,464.91,154.34,320.32,139613.5
Rokan Hilir,1409000,2025-03-10 13:55:19,2021,29407.06,27804.39,16948.21,22.17,3.28,803.55,3187.93,97.58,192.33,215.59,275.39,274.71,0.15,467.18,209.05,67.82,126.23,80102.63
Kepulauan Meranti,1410000,2025-03-10 13:55:19,2021,8302.55,3433.13,5414.28,9.29,0.77,1017.92,1867.21,280.3,57.82,122.21,59.31,87.05,0.56,327.01,45.84,15.68,52.19,21093.09
Kota Pekanbaru,1471000,2025-03-10 13:55:19,2021,2090.94,21.76,26663.49,298.64,17.24,37422.52,37897.05,2377.62,2019.35,3472,4260.99,3202.52,18.42,3188.32,1400.28,984.27,1189.85,126525.25
Kota Dumai,1473000,2025-03-10 13:55:19,2021,2303.17,132.99,24294.17,92.98,6.04,3995.66,5873.68,757.62,314.99,478.07,449.22,168.4,1.65,605.35,192.27,86.28,193.57,39946.11
Kerinci,1501000,2025-03-10 13:55:19,2021,5485.81,198.82,309.73,4.54,35.67,1198.82,1126.96,207.56,81.09,847.82,109.66,182.38,4.76,648.87,473.85,170.23,151.37,11237.96
Merangin,1502000,2025-03-10 13:55:19,2021,8803.38,453.41,1351.66,12.18,31.39,1182.35,2202.03,283.22,332.89,775.45,262.47,362.17,21.86,719.09,568.94,276.05,198.81,17837.35
Sarolangun,1503000,2025-03-10 13:55:19,2021,4983.2,3197.77,676.97,5.63,22.34,2378.22,1437.28,302.86,323.04,631.58,454.12,221.26,42.4,953.11,459.74,255.2,214.27,16558.99
Batang Hari,1504000,2025-03-10 13:55:19,2021,8151.48,1914.44,2036.2,10.6,13.98,1151.77,1662.56,275.49,68.7,763.93,334.67,233.1,14.58,847.73,846.05,317.57,166.42,18809.26
Muaro Jambi,1505000,2025-03-10 13:55:19,2021,12824.38,2338.14,4301.99,12.82,29.01,1419.69,1596.7,812.68,160.55,751.68,495.42,376.27,309.76,934.6,520.36,332.22,342.08,27558.34
Tanjung Jabung Timur,1506000,2025-03-10 13:55:19,2021,5040.2,8452.18,1801.66,4.99,16.83,1260.86,1889.78,311.24,92.06,459.12,216.3,164.82,344.22,607.5,888.33,157.25,76.33,21783.66
Tanjung Jabung Barat,1507000,2025-03-10 13:55:19,2021,13081.41,12349.52,7339.82,10.93,30,2282.01,1894.7,361.62,215.22,992.66,511.35,346.53,531.9,789.59,858.17,267.23,217.92,42080.58
Tebo,1508000,2025-03-10 13:55:19,2021,9113.99,858.15,1018.56,14.04,6.99,1130.41,1748.98,212.69,55.24,665.11,226.27,317.84,9.35,751.87,392.39,185.58,241.83,16949.29
Bungo,1509000,2025-03-10 13:55:19,2021,4863.3,2771.81,1334.79,12.51,38.87,2467.44,3056.05,458.59,496.4,1070.98,874.87,515.17,41.35,839.42,984.97,149.97,106.39,20082.89
Kota Jambi,1571000,2025-03-10 13:55:19,2021,312.08,477.45,3499.97,75.26,86.71,3028.75,10437.11,2614.14,707.96,1625.75,2020.52,835.79,959.79,2633.33,1485.2,909.9,208.94,31918.63
Kota Sungai Penuh,1572000,2025-03-10 13:55:19,2021,373.59,62.57,47.84,2.03,23.86,886.6,2312.29,240.51,87.69,1181.85,416.64,225.29,449.63,507.84,793.02,204.52,165.1,7980.86
Ogan Komering Ulu,1601000,2025-03-10 13:55:19,2021,2555.14,2062.22,3098.12,14.64,25.85,1946.49,2934.75,327.25,453.87,151.68,416.21,733.09,18.14,290.17,360.95,195.23,146.46,15730.26
Ogan Komering Ilir,1602000,2025-03-10 13:55:19,2021,16940.96,366.97,2814.84,20.71,8.17,4091.02,3311.52,257,355.27,182.86,291.05,625.14,23.58,1316.33,415.13,50.5,164.98,31236.04
Muara Enim,1603000,2025-03-10 13:55:19,2021,6082.44,40348.06,9814.71,107.09,16.44,3338.76,5203.75,883.47,360.68,490.53,338.12,698.77,9.8,712.49,726.83,267.55,170.19,69569.67
Lahat,1604000,2025-03-10 13:55:19,2021,3579.9,7688.42,1026.59,132.07,5.59,1657.57,2504.31,202.66,273.8,160.6,286.37,481.49,8.59,901.95,474.99,148.7,101.94,19635.54
Musi Rawas,1605000,2025-03-10 13:55:19,2021,6091.96,6377.85,2885.81,6.24,1.61,1153.04,1901.68,89.99,68.44,79.58,127.61,283.13,4.28,414.43,555.73,160.33,210.78,20412.49
Musi Banyuasin,1606000,2025-03-10 13:55:19,2021,8496.72,39109.19,7767.15,36.24,13.79,5704.89,3613.09,200.95,131.37,221.44,1335.06,1474.72,28.87,2409.79,1384.73,283.13,432.58,72643.72
Banyu Asin,1607000,2025-03-10 13:55:19,2021,10223.97,1801.77,8028.24,36.45,4.74,3753.4,4222.15,180.2,134.99,710.39,86.36,175.8,4.64,666.67,702.65,163.78,96.76,30992.96
Ogan Komering Ulu Selatan,1608000,2025-03-10 13:55:19,2021,3015.53,167.04,762.88,9.48,4.44,1610.57,2141.53,83.03,105.59,75.66,84.81,456.15,2.48,443.99,370.68,121.07,75.31,9530.24
Ogan Komering Ulu Timur,1609000,2025-03-10 13:55:19,2021,5367.4,383.93,1627.95,11.14,2.51,3024.98,2986.26,192.98,275.9,187.97,141.12,426.82,7.24,1046.24,279.36,150.24,131.41,16243.46
Ogan Ilir,1610000,2025-03-10 13:55:19,2021,2508.23,910.52,1448.32,9.38,4,2035.26,2358.32,153.31,569.93,45.94,180.24,342.05,17.97,1083.79,222.93,93.84,64.81,12048.82
Empat Lawang,1611000,2025-03-10 13:55:19,2021,1780.79,205.79,614.26,5.25,2.02,602.03,1155.48,85.58,93.78,59.27,116.27,262.4,1.52,222.73,89.09,43.4,51.37,5391.04
Penukal Abab Lematang Ilir,1612000,2025-03-10 13:55:19,2021,1167.83,3126.72,204.02,2.21,5.59,1102.75,1155.23,9.7,132.13,68.41,65.74,247.07,2.22,94.38,126.25,11.74,5.14,7527.14
Musi Rawas Utara,1613000,2025-03-10 13:55:19,2021,3575.93,1775.5,502.75,2.04,1.32,429.14,587.96,86.43,25.76,23.81,59.16,118.68,4.55,178.95,241.96,56.32,73.73,7744
Kota Palembang,1671000,2025-03-10 13:55:19,2021,754.03,7.55,52027.78,308.05,499.44,26635.03,28487.9,7280.7,5395.46,12943.85,7569.48,8372.64,308.38,3427.35,5019.86,1274.58,1720.71,162032.8
Kota Prabumulih,1672000,2025-03-10 13:55:19,2021,517.31,818.22,879.17,17.57,3.15,1464.09,2062.26,226.55,327.57,99.91,379.11,656.57,65.23,308.32,239.16,238.3,43.45,8345.93
Kota Pagar Alam,1673000,2025-03-10 13:55:19,2021,697.65,73.92,56.72,1.81,1.83,487.71,594.83,91.27,115.56,49.97,119.36,166.6,2.9,99.85,301.66,64.94,75.38,3001.94
Kota Lubuklinggau,1674000,2025-03-10 13:55:19,2021,353.82,123.28,495.08,8.96,13.11,1577.92,1539.82,414.9,293.62,111.49,356.02,626.01,87.42,180.15,361.56,147.92,339.41,7030.47
Bengkulu Selatan,1701000,2025-03-10 13:55:19,2021,2042.12,133.66,194.48,6.3,8.58,348.07,1017.97,381.09,120.74,184.71,377.33,232.8,15.18,683.59,302.41,105.14,42.45,6196.61
Rejang Lebong,1702000,2025-03-10 13:55:19,2021,3125.98,133.14,414.08,10.04,16.13,436.32,1701.03,575.11,198.64,264.52,333.27,344.87,14.59,1064.73,1008.69,315.05,135.35,10091.53
Bengkulu Utara,1703000,2025-03-10 13:55:19,2021,3487.39,1688.56,752.49,8.47,16.19,432.98,841.98,227.73,68.72,190.69,374.29,240.64,10.64,817.64,511.01,133.93,51.29,9854.65
Kaur,1704000,2025-03-10 13:55:19,2021,1951.73,151.95,155.03,3.1,7.65,270.24,356.84,185.24,52.65,118.04,47.64,136.71,1.87,322.02,106.71,22.87,10.58,3900.87
Seluma,1705000,2025-03-10 13:55:19,2021,2380.79,175.66,424.31,5.57,8.09,295.19,404.92,110.01,81.92,54.07,41.83,193.43,5.73,539.65,246.7,50.37,35.36,5053.6
Mukomuko,1706000,2025-03-10 13:55:19,2021,2505.58,155.44,683.87,4.76,8.44,237.62,951.4,250.77,81.38,59.26,75.29,93.88,6.16,444.14,112.82,17.65,4.63,5693.09
Lebong,1707000,2025-03-10 13:55:19,2021,1507.76,192.47,198.94,4.48,9.36,337.49,310.87,166.46,48.15,57.12,41.86,184.86,6.07,414.8,89.38,32.81,24.91,3627.78
Kepahiang,1708000,2025-03-10 13:55:19,2021,1933.77,98.74,347.92,8.34,7.18,287.84,446.96,117.68,93.26,96.44,59.87,139.39,6.11,769.26,228.9,76.37,30.45,4748.46
Bengkulu Tengah,1709000,2025-03-10 13:55:19,2021,1473.44,1216.58,717.56,2.19,5.07,250.42,378.81,58.95,96.55,32.21,123.4,173.49,4.29,791.01,100.54,27.02,14.69,5466.24
Kota Bengkulu,1771000,2025-03-10 13:55:19,2021,1927.9,29.38,815.7,31.24,61.49,1204.68,5185.08,4198.1,541.17,1905.48,1282.86,1139.81,1579.76,1880.33,2079.88,786.93,325.14,24974.92
Lampung Barat,1801000,2025-03-10 13:55:19,2021,3530.9,182.1,398.91,1.11,8.46,320.63,961.79,192.14,96.23,238.88,146.09,324,13.4,509.35,333.21,117.12,103.2,7477.51
Tanggamus,1802000,2025-03-10 13:55:19,2021,6467.69,1159.44,1143.12,11.05,22.13,1179.8,1755.99,856.77,294.13,660,328.47,468.94,13.63,802.39,710.24,266.85,176.23,16316.87
Lampung Selatan,1803000,2025-03-10 13:55:19,2021,13278.98,703.48,11257.9,54.18,59.39,5967.11,5765.84,2346.16,656.61,1384.55,851.07,983.29,39.52,1072,1134.38,287.39,248.95,46090.82
Lampung Timur,1804000,2025-03-10 13:55:19,2021,15003.78,10614.45,3739.61,200.82,25.18,2598.25,3837.86,829.32,493.02,1710.21,596.98,916.37,32.66,1346.7,1163.01,322.79,386.58,43817.61
Lampung Tengah,1805000,2025-03-10 13:55:19,2021,25363.82,3649.41,17488.85,79.67,27.73,8176.92,7557.98,1952.04,782.14,2589.09,1236.99,1392.43,84.54,1311.2,1816.73,440.45,389.95,74339.95
Lampung Utara,1806000,2025-03-10 13:55:19,2021,8866.77,870.63,3433.75,19.08,15.03,2080.17,3364.02,1351.85,294.48,1181.1,487.75,644.65,25.82,940.83,937.28,253.31,174.57,24941.07
Way Kanan,1807000,2025-03-10 13:55:19,2021,5086.23,682.51,3333.42,14.47,8.5,1256.03,1458.8,388.13,126.55,611.85,153.87,323.35,7.27,511.33,464.25,161.1,74.23,14661.87
Tulangbawang,1808000,2025-03-10 13:55:19,2021,8986.36,261.29,6071.81,26.52,12.73,2105.58,2472.81,935.36,322.3,839.08,301.47,478.69,10.61,683.71,462.55,108.82,86.55,24166.26
Pesawaran,1809000,2025-03-10 13:55:19,2021,6789.6,230.05,2468.63,9.34,11.18,1736.52,2364.09,478.45,226.18,600.81,71.44,354.86,9.79,642.44,581.03,120.31,119.86,16814.58
Pringsewu,1810000,2025-03-10 13:55:19,2021,2806.84,11.77,1786.11,8.48,6.87,1444.45,1645.12,522.09,292.11,701.15,483.9,447.17,27.9,510.54,653.15,185.37,126.03,11659.05
Mesuji,1811000,2025-03-10 13:55:19,2021,4380.7,64.58,2778.99,12.89,3.11,898.74,1233.6,191.5,103.34,238.64,39.78,263.66,1.85,319.19,254.19,54.9,39.32,10878.96
Tulang Bawang Barat,1812000,2025-03-10 13:55:19,2021,4123.93,54.02,3501.06,5.03,11.53,1037.27,1294.82,101.08,107.27,640.02,67.56,232.86,7.92,357.42,307.98,58.73,52.05,11960.55
Pesisir Barat,1813000,2025-03-10 13:55:19,2021,2383.43,256.21,193.82,0.88,2.47,369.61,633.58,47.87,89.16,117.07,70.39,176.27,7.18,252.11,185.92,59.2,46.87,4892.04
Kota Bandar Lampung,1871000,2025-03-10 13:55:19,2021,2256.44,2020.72,13035.41,71.68,185.48,6961,8567.47,8047.93,1524.67,3879.9,3126.45,3606.49,210.78,3535.94,2196.5,1294.52,959.19,61480.56
Kota Metro,1872000,2025-03-10 13:55:19,2021,346.09,,1055.79,9.3,3.87,434.66,1138.75,500.39,169.53,546.48,480.2,406.44,45.3,489.61,400.94,396.65,141.45,6565.45
Bangka,1901000,2025-03-10 13:55:19,2021,3306.36,1712.66,3908.2,41.85,3.76,1548.53,1989.71,358.62,461.49,370.68,398.58,557.56,38.04,813.86,358.86,176.63,120.6,16166.01
Belitung,1902000,2025-03-10 13:55:19,2021,3107.49,684.18,1357.64,18.94,3.3,1386.19,1125.73,591.34,418.46,364.66,246.13,357.4,33.34,783.77,225.51,220.94,86.02,11011.04
Bangka Barat,1903000,2025-03-10 13:55:19,2021,1923.3,1345.49,6956.87,12.52,1.23,1106.14,2049.36,139.01,203.2,65.15,69.56,330.37,21.81,727.36,296.81,135.84,47.56,15431.57
Bangka Tengah,1904000,2025-03-10 13:55:19,2021,1585.97,1383.66,631.61,7.83,0.74,1090.58,1616.59,788.82,372.59,222.75,69.44,314.78,24.94,741.99,313.79,161.61,44.42,9372.1
Bangka Selatan,1905000,2025-03-10 13:55:19,2021,3934.22,1753.27,498.88,7.62,1.82,837.36,1040.47,80.81,240.09,68.35,49.77,342.2,13.98,555.48,246.24,68.87,36.75,9776.17
Belitung Timur,1906000,2025-03-10 13:55:19,2021,2255.73,1328.73,1942.43,7.57,1.79,694.99,923.78,173.01,217.66,105.72,43.39,255.53,25,489.94,232.84,134.8,49.56,8882.48
Kota Pangkal Pinang,1971000,2025-03-10 13:55:19,2021,816.1,,2633.32,14.78,4.81,1763.24,3782.11,954.2,641.21,609.81,683.49,841.82,72.23,1048.5,863.37,340.8,306.2,15375.99
Karimun,2101000,2025-03-10 13:55:19,2021,2160.76,1686.58,1766.05,35.42,5.32,2842.05,2499.05,367.07,250.23,428.95,232.62,426.13,2.44,554.04,499.56,274.03,165.44,14195.74
